ninds_aff_name,fiscal_year_total_cost
columbia univ new york morningside,19768293.0
yale university,17036344.0
johns hopkins university,16847928.0
university of pennsylvania,15090000.0
university of california los angeles,13660316.0
washington university,12373472.0
university of california san francisco,11286267.0
massachusetts general hospital,10060020.0
university of washington,9749818.0
university of california san diego,9364516.0
stanford university,8401538.0
yeshiva university,7870414.0
university of michigan at ann arbor,7814764.0
duke university,7587397.0
university of minnesota twin cities,7114721.0
university of iowa,7001583.0
new york university,6581367.0
children's hospital boston,6027533.0
harvard university (medical school),5927881.0
university of maryland baltimore,5882131.0
university of pittsburgh at pittsburgh,5865178.0
university of north carolina chapel hill,5778006.0
baylor college of medicine,5715936.0
wake forest university,5519985.0
northwestern university,5491996.0
virginia commonwealth university,5461935.0
university of virginia charlottesville,5398024.0
case western reserve university,5223065.0
university of miami school of medicine,5030731.0
allegheny university of health sciences,4729534.0
"mayo clinic coll of medicine, rochester",4712330.0
university of colorado denver,4675174.0
mount sinai school of medicine of cuny,4658687.0
university of southern california,4566864.0
emory university,4534406.0
oregon health and science university,4499466.0
university of rochester,4412316.0
university of california irvine,4277179.0
university of wisconsin madison,4000805.0
university of chicago,3995744.0
university of texas hlth sci ctr san ant,3731063.0
john p. robarts research institute,3723464.0
university of alabama at birmingham,3640729.0
university of utah,3610716.0
university of texas hlth sci ctr houston,3470619.0
university of texas medical br galveston,3466817.0
salk institute for biological studies,3446476.0
scripps research institute,3444341.0
university of tennessee health sci ctr,3142600.0
georgetown university,3128965.0
ohio state university,3072172.0
henry ford health system,3050302.0
indiana univ-purdue univ at indianapolis,2957462.0
university of texas sw med ctr/dallas,2915861.0
brigham and women's hospital,2710867.0
california institute of technology,2699577.0
university of cincinnati,2640710.0
university of arizona,2611470.0
state university new york stony brook,2538347.0
colorado state university-fort collins,2535426.0
weill medical college of cornell univ,2530197.0
boston university medical campus,2496558.0
university of florida,2386463.0
rockefeller university,2364993.0
thomas jefferson university,2298609.0
wayne state university,2295503.0
university of kentucky,1965611.0
vanderbilt university,1963895.0
associated univ-brookhaven natl lab,1861305.0
worcester foundation for biomedical res,1845190.0
children's hospital of philadelphia,1790416.0
st. joseph's hosp/med ctr (phoenix),1772428.0
university of california davis,1749082.0
tufts university boston,1724516.0
massachusetts institute of technology,1670178.0
university of california berkeley,1626262.0
university of vermont & st agric college,1614367.0
rosalind franklin univ of medicine & sci,1608183.0
university of kansas medical center,1450023.0
suny downstate medical center,1402613.0
city of hope/beckman research institute,1397566.0
university of oregon,1364886.0
state university of new york at buffalo,1347477.0
pennsylvania state univ hershey med ctr,1329419.0
michigan state university,1291751.0
univ of med/dent of nj-nj medical school,1211113.0
cornell university ithaca,1190398.0
brandeis university,1163065.0
eunice kennedy shriver ctr mtl retardatn,1136006.0
"eic laboratories, inc.",1135612.0
univ of massachusetts med sch worcester,1102727.0
parkinson's institute,1098905.0
university of new mexico,1078692.0
dartmouth college,1076266.0
beth israel deaconess medical center,1064091.0
university of illinois urbana-champaign,1053307.0
"good samaritan hosp & med ctr(prtlnd,or)",1031676.0
methodist hospital (houston),1003768.0
univ of med/dent nj-r w johnson med sch,1003630.0
