ninds_aff_name,mean_funding
"21st century medicine, inc.",184915.0
"a and g pharmaceutical, inc.",69388.5
a.t. still university of health sciences,384317.0
aarhus university hospital,13509.5
"abgenix, inc.",250000.0
"abiomed, inc.",237334.67
abratech corporation,155250.86
"abzyme therapeutics, llc",236646.0
"acadia pharmaceuticals, inc.",583470.5
"access pharmaceuticals, inc.",139955.0
"acorda therapeutics, inc.",207646.53
"acoustic medsystems, inc.",230149.0
"acrymed, inc.",130453.0
"active signal technologies, inc.",317994.7
"actuated medical, inc.",378515.0
"acurastem, inc.",433105.0
"adenosine therapeutics, llc",471081.0
adolor corporation,272739.33
advanced biomedical informatics group,745691.0
advanced bionics corporation,271106.5
"advanced brain monitoring, inc.",256345.0
advanced cell technology,99729.0
"advanced circulatory systems, inc.",339678.0
"advanced cochlear systems, inc.",308229.0
"advanced imaging research, inc.",258004.8
advanced medical electronics corporation,269260.44
"advanced mri technology, llc",522465.77
"advanced neural dynamics, inc.",295177.5
"advanced rna technologies, llc",191766.0
advanced science research center,397952.17
"advanced sensor technologies, inc.",100000.0
"advanced targeting systems, inc.",218092.25
advocacy for patients / chronic illness,25000.0
"aegiscn, llc",227501.0
"aeromics, llc",524856.0
"aestus therapeutics, inc.",590279.0
"afasci, inc.",538461.0
afferent corporation,300420.67
"affinergy ,inc",694373.33
"affymetrix, inc.",100000.0
"agenebio, inc.",651553.0
"agile sciences, inc.",285619.0
"agri-analysis, llc",339440.0
akron general medical center,18624.0
"ala scientific instruments, inc.",214710.67
"alacron, inc.",283914.67
alaska native tribal health consortium,298535.33
albany medical college,185313.2
"albany molecular research, inc.",835608.79
"albany research institute, inc.",267253.75
albert einstein col of med yeshiva univ,271334.21
albert einstein coll of med,187787.54
albert einstein college of medicine,246701.59
"albert einstein college of medicine, inc",345203.28
albert einstein healthcare network,360262.82
albion college,119085.0
"alcamena stem cell therapeutics, llc",237804.0
alexza molecular delivery corporation,617788.75
alfred e. mann foundation/scientific res,274562.8
alfred i. du pont hosp for children,173912.67
"algos therapeutics, inc.",100000.0
"alkermes, inc.",234604.0
allegheny university of health sciences,202347.01
allegheny-singer research institute,187339.0
allen institute,686715.18
"allez physionix, ltd",218356.43
"allosteros therapeutics, inc.",249701.0
"alperin noninvasive diagnostics, inc.",106000.0
"als biopharma, llc",189000.0
altarum institute,581929.5
"altec, inc.",438523.67
altor bioscience corporation,99987.67
"ambergen, inc",383348.0
"ambion, inc.",295423.33
american assn/chronic fatigue syndrome,3785.71
american biotechnology research corp,416020.5
american epilepsy society,10000.0
american life science pharmaceuticals,532178.0
american national red cross,124767.0
american pain society,9166.67
american physiological society,7000.0
american research corp of virginia,50000.0
american society for nanomedicine i,8333.33
american society for neurochemistry,13722.22
american society of gene & cell therapy,10000.0
american speech-language-hearing assn,104049.0
american university,220280.67
"ames technology, inc.",351014.0
amherst college,371823.0
"amplyx pharmaceuticals, inc.",482212.17
"amprion, inc.",606285.0
"amur pharmaceuticals, inc.",88400.33
amyotropic lateral sclerosis association,20000.0
anagin,711037.33
"anaspec, inc.",593726.0
"anatomyworks, llc",374548.67
"ancure, llc",225000.0
andrew's buddies corporation,11000.0
androscience corporation,1.0
"anergen, inc.",100000.0
"anergix, llc",249245.0
"aneuvas technologies, inc.",220109.0
angioma alliance,11175.0
angion biomedica corporation,694227.73
ann arbor district library,27000.0
"annovis, inc.",244683.17
"anteana therapeutics, inc.",223903.0
"anticancer, inc.",224700.0
"apdm, inc.",340527.25
"apeliotus technologies, inc.",189146.0
"aperys, llc",73778.0
"apex biomedical company, llc",521449.4
"apollo light systems, inc.",157442.25
"apologic, inc.",281612.0
"apt therapeutics, inc.",545623.22
"aptinyx, inc.",1170162.0
"aquinnah pharmaceuticals, inc.",535417.67
"aratome, llc",225000.0
arbor vita corporation,771898.5
"arcos biosciences, inc.",136900.0
"aristein bioinformatics, llc",139999.0
arizona institute for bio-medical res,206416.0
arizona state university-tempe campus,209945.61
arkansas children's hosp (little rock),79681.67
"armagen technologies, inc.",416900.71
"aronora, inc.",315665.0
"artann laboratories, inc.",359168.5
"artsco, inc.",97997.0
"aruna biomedical, inc.",402072.0
"asi instruments, inc",110250.0
"asklepios biopharmaceutical, inc.",201563.0
aspirebio corporation,225000.0
associated univ-brookhaven natl lab,437547.67
association for frontotemporal dementias,29474.5
association for research/nerv & ment dis,6500.0
"astraea therapeutics, llc",241423.0
"astro-med, inc.",160186.6
"astroctye pharmaceuticals, inc.",722711.67
"asuragen, inc.",456809.75
"ateris technologies, llc",578728.5
"athersys, inc.",354798.5
"atlantic health system, inc.",98370.47
atto bioscience,184657.5
auburn university at auburn,209839.44
augusta university,259175.31
"auritec pharmaceuticals, inc.",348172.0
australian national university,14741.5
"avancen, llc",99475.0
"avantgen, inc.",220061.0
"avid radiopharmaceuticals, inc.",253748.0
"axion biosystems, llc",393819.5
"axon engineering, inc.",92826.5
"axon medical, inc.",249377.0
"axonova medical, llc",224562.0
"azevan pharmaceuticals, inc.",1127021.8
"backyard brains, inc.",386013.0
"balance therapeutics, inc.",471487.0
ball state university,152987.0
banner health,1601263.0
banner sun health research institute,913335.0
"banyan biomarkers, inc.",301214.2
barnard college,259143.87
barnes-jewish hospital,324090.44
"barron associates, inc.",209687.14
bastyr university,210796.5
battelle pacific northwest laboratories,384373.1
baylor college of medicine,253710.77
baylor research institute,118871.25
baylor university,415500.0
"bcell solutions, inc.",292177.0
beckman research institute/city of hope,447037.19
"bedford va research corporation, inc.",142570.0
bell laboratories,28600.0
"bellbrook labs, llc",411631.6
benaroya research inst at virginia mason,302279.62
"betah associates, inc.",57358.2
beth israel deaconess medical center,297152.67
beth israel medical ctr (new york),266702.83
"bio-brite, inc.",222275.6
"bio-imaging research, inc.",96500.0
bio-logic systems corporation,325212.5
bio-signal group corporation,941849.25
"bio-tek instruments, inc.",170542.33
"bioadvances, llc",112586.0
"bioanalytical systems, inc. (basi)",105969.0
"bioaxone biosciences, inc.",731381.38
bioelectric corporation,159463.14
"biographics, inc.",51000.0
