,ninds_aff_type,fiscal_year_total_cost
303,schools of medicine,1516439511.0
54,independent hospitals,204512780.0
214,schools of arts and sciences,201506729.0
146,research institutes,138251763.0
8,domestic for-profits,68327918.0
123,other domestic non-profits,50625758.0
237,schools of dentistry,44727834.0
398,schools of public health,38937354.0
100,other domestic higher education,32968838.0
77,organized research units,23091860.0
421,schools of veterinary medicine,22264092.0
280,schools of engineering,17310998.0
375,schools of pharmacy,16352892.0
444,unavailable,14857920.0
31,domestic higher education,5976580.0
191,schools of allied health professions,5453650.0
169,schools of  earth sciences-natural resources,5245884.0
260,schools of education,2058062.0
326,schools of nursing,1227706.0
363,schools of osteopathy,240942.0
