,ninds_aff_type,fiscal_year_total_cost
399,schools of public health,450103.55
238,schools of dentistry,389829.53
55,independent hospitals,360693.72
327,schools of nursing,335702.5
124,other domestic non-profits,318101.41
147,research institutes,304443.61
304,schools of medicine,304337.19
101,other domestic higher education,296051.51
78,organized research units,273831.18
376,schools of pharmacy,270381.17
32,domestic higher education,265142.17
422,schools of veterinary medicine,260725.38
215,schools of arts and sciences,251417.95
170,schools of  earth sciences-natural resources,237686.67
192,schools of allied health professions,230430.64
9,domestic for-profits,227101.47
281,schools of engineering,226263.49
445,unavailable,176581.39
364,schools of osteopathy,157968.2
261,schools of education,101575.83
