,grant_type,fiscal_year_total_cost
948,z02,19601000.0
797,u01,1421751.49
297,n01,1344140.56
390,p50,1323389.33
947,z01,1221890.79
344,p01,1142522.04
900,u54,1102561.78
367,p30,734286.87
401,pl1,667744.0
865,u24,590064.05
714,rl1,525887.8
878,u44,479731.0
676,r44,437097.47
589,r37,420366.57
198,k12,392172.78
563,r33,378690.0
631,r42,376687.5
927,y01,363761.62
427,r01,336803.97
694,r56,319400.02
727,s11,290370.67
735,sc1,289670.0
525,r24,277855.5
404,r00,245860.4
487,r15,200370.94
653,r43,191689.92
611,r41,181732.14
215,k22,176450.0
506,r21,166921.75
767,t32,163801.36
576,r34,163078.5
230,k23,160123.35
138,k02,158977.11
176,k08,154967.7
117,k01,150836.0
264,k25,144696.79
248,k24,140034.94
824,u10,128530.79
745,sc2,114769.33
275,k99,87618.08
541,r25,67545.0
441,r03,64152.52
29,f05,52898.0
84,f32,46210.37
39,f30,32728.91
61,f31,28525.19
104,f33,26635.5
837,u13,21785.43
781,t35,20674.0
464,r13,11632.61
