,grant_type,fiscal_year_total_cost
429,r01,838325460.0
799,u01,182304607.0
508,r21,80600433.0
346,p01,73245738.0
392,p50,50730844.0
369,p30,41804854.0
902,u54,39465582.0
591,r37,28566935.0
708,rc2,26780243.0
706,rc1,24601908.0
678,r44,22097403.0
769,t32,15517990.0
178,k08,14953682.0
709,rc3,14438946.0
711,rc4,13637934.0
655,r43,11155770.0
696,r56,10597439.0
826,u10,9089090.0
232,k23,9070416.0
406,r00,8070902.0
489,r15,7590340.0
299,n01,7588949.0
308,n02,7349202.0
63,f31,5742492.0
86,f32,5046799.0
443,r03,4430858.0
880,u44,4209476.0
867,u24,4051332.0
140,k02,3425677.0
633,r42,3035968.0
119,k01,3025286.0
41,f30,3009432.0
543,r25,2873152.0
716,rl1,2838847.0
737,sc1,2490150.0
613,r41,2040352.0
250,k24,1798433.0
277,k99,1712941.0
200,k12,1339505.0
466,r13,1292063.0
266,k25,1148834.0
565,r33,1124371.0
403,pl1,659738.0
527,r24,607868.0
839,u13,331801.0
729,s11,245000.0
747,sc2,223500.0
577,r34,156000.0
31,f05,53235.0
783,t35,34263.0
