,grant_type,fiscal_year_total_cost
970,zif,22045989.0
963,zid,6758652.0
956,zic,4156670.5
11,dp2,2466628.67
300,n01,2137305.88
393,p50,1360510.97
903,u54,1261521.25
800,u01,1239599.38
347,p01,1145994.22
949,zia,1090847.15
868,u24,877410.78
881,u44,711655.83
370,p30,710733.74
4,dp1,699487.5
679,r44,647979.85
634,r42,616957.2
710,rc3,530523.0
592,r37,494701.34
358,p20,452344.6
697,r56,417960.39
490,r15,368339.2
430,r01,359864.28
201,k12,318954.9
528,r24,311740.5
848,u18,300435.0
738,sc1,283189.5
309,n02,262124.36
614,r41,260303.43
656,r43,242281.53
928,y01,241370.0
407,r00,236796.44
509,r21,206467.96
827,u10,194648.29
251,k24,170087.56
233,k23,169609.32
179,k08,166070.96
141,k02,165044.33
770,t32,160449.69
267,k25,152073.0
120,k01,151139.8
748,sc2,145833.33
0,d43,106659.5
544,r25,96207.7
278,k99,92026.79
444,r03,75341.12
32,f05,61134.0
87,f32,48957.11
784,t35,35413.0
42,f30,32503.03
64,f31,30664.71
840,u13,18636.36
467,r13,11357.61
