,ninds_aff_name,fiscal_year,fiscal_year_total_cost
0,baylor college of medicine,1993,5715936.0
1,baylor college of medicine,1994,12447182.0
2,baylor college of medicine,1996,7854758.0
3,baylor college of medicine,1997,15786528.0
4,baylor college of medicine,1998,7980942.0
5,baylor college of medicine,1999,9995493.0
6,baylor college of medicine,2000,12564168.0
7,baylor college of medicine,2001,13280745.0
8,baylor college of medicine,2003,25901038.0
9,baylor college of medicine,2004,28489338.0
10,baylor college of medicine,2006,14015402.0
11,baylor college of medicine,2007,12943675.0
12,baylor college of medicine,2008,12034834.0
13,baylor college of medicine,2009,12636961.0
14,baylor college of medicine,2010,12266918.0
15,baylor college of medicine,2012,12916614.0
16,baylor college of medicine,2013,10963269.0
17,baylor college of medicine,2014,13300548.0
18,baylor college of medicine,2015,16710449.0
19,baylor college of medicine,2016,19166848.0
20,baylor college of medicine,2017,18638768.0
21,baylor college of medicine,2018,17489334.0
23,brigham and women's hospital,1993,2710867.0
24,brigham and women's hospital,1994,5649800.0
25,brigham and women's hospital,1996,2409859.0
26,brigham and women's hospital,1997,5767746.0
27,brigham and women's hospital,1998,2654321.0
28,brigham and women's hospital,1999,4632997.0
29,brigham and women's hospital,2000,6995010.0
30,brigham and women's hospital,2001,8347908.0
31,brigham and women's hospital,2003,22801726.0
32,brigham and women's hospital,2004,24984316.0
33,brigham and women's hospital,2006,11744599.0
34,brigham and women's hospital,2007,13299256.0
35,brigham and women's hospital,2008,14178871.0
36,brigham and women's hospital,2009,17137213.0
37,brigham and women's hospital,2010,13823899.0
38,brigham and women's hospital,2012,12754730.0
39,brigham and women's hospital,2013,10705309.0
40,brigham and women's hospital,2014,12496987.0
41,brigham and women's hospital,2015,13561226.0
42,brigham and women's hospital,2016,13358123.0
43,brigham and women's hospital,2017,12272543.0
44,brigham and women's hospital,2018,12063287.0
46,case western reserve university,1993,5223065.0
47,case western reserve university,1994,12275158.0
48,case western reserve university,1996,8484386.0
49,case western reserve university,1997,18222550.0
50,case western reserve university,1998,8692636.0
51,case western reserve university,1999,8334929.0
52,case western reserve university,2000,8333074.0
53,case western reserve university,2001,9796589.0
54,case western reserve university,2003,19327048.0
55,case western reserve university,2004,18212456.0
56,case western reserve university,2006,10572704.0
57,case western reserve university,2007,8300189.0
58,case western reserve university,2008,9355938.0
59,case western reserve university,2009,11993310.0
60,case western reserve university,2010,10183960.0
61,case western reserve university,2012,8896829.0
62,case western reserve university,2013,12246033.0
63,case western reserve university,2014,11561159.0
64,case western reserve university,2015,11877487.0
65,case western reserve university,2016,13340864.0
66,case western reserve university,2017,11399623.0
67,case western reserve university,2018,15819529.0
69,columbia university health sciences,1993,327923.0
70,columbia university health sciences,1994,6253282.0
71,columbia university health sciences,1996,15733235.0
72,columbia university health sciences,1997,36937544.0
73,columbia university health sciences,1998,23928397.0
74,columbia university health sciences,1999,26410768.0
75,columbia university health sciences,2000,25375360.0
76,columbia university health sciences,2001,29377369.0
77,columbia university health sciences,2003,67340762.0
78,columbia university health sciences,2004,77302638.0
79,columbia university health sciences,2006,38551237.0
80,columbia university health sciences,2007,45522671.0
81,columbia university health sciences,2008,32847037.0
82,columbia university health sciences,2009,40916723.0
83,columbia university health sciences,2010,33004279.0
84,columbia university health sciences,2012,35752313.0
85,columbia university health sciences,2013,37143131.0
86,columbia university health sciences,2014,31434589.0
87,columbia university health sciences,2015,32591129.0
88,columbia university health sciences,2016,31035447.0
89,columbia university health sciences,2017,39642939.0
90,columbia university health sciences,2018,52486587.0
92,duke university,1993,7587397.0
93,duke university,1994,15859884.0
94,duke university,1996,8690687.0
95,duke university,1997,20883512.0
96,duke university,1998,10240761.0
97,duke university,1999,12730353.0
98,duke university,2000,13839810.0
99,duke university,2001,16165071.0
100,duke university,2003,41521926.0
101,duke university,2004,44024648.0
102,duke university,2006,24429878.0
103,duke university,2007,14941586.0
104,duke university,2008,16865217.0
105,duke university,2009,21290878.0
106,duke university,2010,17217992.0
107,duke university,2012,17943969.0
108,duke university,2013,17098108.0
109,duke university,2014,14144773.0
110,duke university,2015,12253894.0
111,duke university,2016,17365859.0
112,duke university,2017,22944081.0
113,duke university,2018,27987127.0
115,emory university,1993,4534406.0
116,emory university,1994,12628686.0
117,emory university,1996,8163008.0
118,emory university,1997,14326412.0
119,emory university,1998,13648573.0
120,emory university,1999,15114473.0
121,emory university,2000,18382841.0
122,emory university,2001,20756698.0
123,emory university,2003,35464074.0
124,emory university,2004,29081980.0
125,emory university,2006,15725449.0
126,emory university,2007,16583521.0
127,emory university,2008,17436262.0
128,emory university,2009,25516261.0
129,emory university,2010,34951779.0
130,emory university,2012,33189657.0
131,emory university,2013,26334274.0
132,emory university,2014,25794961.0
133,emory university,2015,25470128.0
134,emory university,2016,27543123.0
135,emory university,2017,27173409.0
136,emory university,2018,29111796.0
138,johns hopkins university,1993,16847928.0
139,johns hopkins university,1994,35987952.0
140,johns hopkins university,1996,19887512.0
141,johns hopkins university,1997,40500380.0
142,johns hopkins university,1998,21484911.0
143,johns hopkins university,1999,26379279.0
144,johns hopkins university,2000,31044083.0
145,johns hopkins university,2001,33304689.0
146,johns hopkins university,2003,68611270.0
147,johns hopkins university,2004,72948960.0
148,johns hopkins university,2006,43073270.0
149,johns hopkins university,2007,42074207.0
150,johns hopkins university,2008,38564288.0
151,johns hopkins university,2009,43951605.0
152,johns hopkins university,2010,44456915.0
153,johns hopkins university,2012,45454329.0
154,johns hopkins university,2013,43309479.0
155,johns hopkins university,2014,44871312.0
156,johns hopkins university,2015,38446630.0
157,johns hopkins university,2016,45893413.0
158,johns hopkins university,2017,42169311.0
159,johns hopkins university,2018,47823037.0
161,massachusetts general hospital,1993,10060020.0
162,massachusetts general hospital,1994,23272732.0
163,massachusetts general hospital,1996,14203876.0
164,massachusetts general hospital,1997,27216060.0
165,massachusetts general hospital,1998,17054842.0
166,massachusetts general hospital,1999,19142169.0
167,massachusetts general hospital,2000,19007146.0
168,massachusetts general hospital,2001,24236729.0
169,massachusetts general hospital,2003,61892198.0
170,massachusetts general hospital,2004,72399904.0
171,massachusetts general hospital,2006,39216675.0
172,massachusetts general hospital,2008,49732549.0
173,massachusetts general hospital,2009,49563547.0
174,massachusetts general hospital,2010,49924129.0
175,massachusetts general hospital,2012,43261578.0
